weight,source,target
1,7610,6520
1,7000,2140
1,2140,7000
1,7410,7310
2,7310,4250
1,7010,110
1,7130,6200
2,7020,2720
2,2720,7020
2,7020,6420
2,6420,2720
1,2720,6260
1,7560,9130
1,7000,7210
1,7130,4220
3,4220,7340
1,7320,6200
1,7310,1010
1,7510,7220
1,7140,6260
1,7040,4250
1,7560,6800
1,7150,6940
1,6940,6840
1,7220,6530
1,7220,6350
1,6350,7130
1,7330,7000
5,7010,1040
1,7310,6200
1,7150,7000
1,7420,7020
1,7000,7150
1,7420,6330
1,7150,4250
1,7610,7700
1,7020,1540
2,6200,7000
2,7330,7350
3,7150,8810
3,7010,1000
1,7200,7000
1,4220,2040
1,7200,1550
1,1550,2200
1,2200,1550
1,7140,2720
1,7040,6350
1,7200,8800
1,1040,1810
1,7420,7410
1,7200,220
1,7000,5140
1,7140,1550
1,1550,7140
2,7000,110
1,7140,6520
1,7200,4840
1,7210,9830
2,7220,4250
1,4250,1410
1,7000,50
1,50,7150
1,6260,7150
1,7000,5520
1,7220,7360
1,7310,1360
1,1360,6660
1,7200,6440
1,7120,7000
1,4250,6250
2,1000,2630
1,7020,9820
1,7330,7700
1,7610,7200
1,7200,7310
1,7330,4220
1,7310,6440
1,7000,8140
2,8140,7000
1,7260,7200
1,1040,1410
1,7330,7100
1,7220,6420
1,6420,7240
1,7020,7420
1,7160,8650
2,7200,4220
1,7260,9130
1,7010,1010
1,7020,4760
2,7010,1110
1,620,50
1,620,5350
1,560,430
1,540,7700
3,620,20
1,620,150
1,730,430
1,620,1810
1,520,530
1,540,800
2,620,850
1,730,1810
1,620,1040
1,620,2750
1,620,2700
1,560,110
1,540,7010
4,620,130
1,620,5920
1,620,230
1,230,700
1,560,4850
1,620,4840
1,560,2000
1,2000,5000
1,620,3240
1,810,50
2,620,710
2,710,620
1,940,800
1,520,5620
2,5620,5600
1,730,5110
1,540,50
1,50,800
1,620,2010
2,620,3130
1,620,110
1,620,2850
1,620,910
1,930,9820
2,620,2710
1,620,4420
1,620,2200
1,930,800
1,730,2860
1,730,1060
1,940,3510
1,730,2540
1,2540,1020
1,520,4840
2,4840,5350
1,930,940
1,620,430
1,520,1100
2,1100,1110
1,620,9800
1,620,2550
1,730,7700
1,730,5620
1,620,4820
1,620,800
1,940,120
4,5620,4600
1,4600,340
1,340,5620
4,5860,5620
8,5620,4110
18,4110,5700
2,5700,5360
2,5000,10
3,5240,620
3,5000,800
3,800,5120
6,5360,620
3,5000,350
2,5000,1100
2,5000,130
1,5620,130
1,5810,7010
3,5000,20
1,5240,8710
3,5000,4700
23,5620,4760
67,4760,4700
3,4700,4320
1,5350,110
1,5240,730
2,5520,220
1,100,4960
1,4960,100
5,5610,5620
2,5240,1810
1,1810,50
2,5860,2540
1,5140,3240
1,5360,430
4,5700,2200
3,2200,5700
2,5120,430
1,5600,700
6,5620,9600
1,5860,620
1,5110,5200
4,5860,800
1,800,120
12,5240,4760
7,5700,2140
4,5240,5810
2,5810,3650
1,5150,2550
2,5320,4250
1,4250,1100
1,1100,1000
1,5310,2140
1,2140,9830
1,9830,2140
6,5240,1040
1,1040,9990
1,5000,7310
2,5110,1000
2,5000,110
3,5240,540
1,5840,2820
4,5700,620
1,5330,950
1,5260,7620
1,5620,4140
1,5620,430
1,5330,4810
1,5700,850
5,5700,2340
1,2340,1650
1,1650,2200
1,2200,1650
2,5120,930
1,930,5840
1,5820,910
1,910,800
3,5240,800
1,5240,7010
2,5810,1040
4,5240,4220
2,4220,5240
1,5000,1710
1,1710,1220
1,5220,2100
1,5260,2310
1,5160,2040
1,5000,2020
1,5260,2020
1,5000,2040
1,5110,950
1,5240,940
1,940,4710
1,5320,2200
2,3600,2010
10,5240,5700
1,5120,7750
2,7750,5120
3,5400,2340
2,2340,5700
2,5620,7420
1,5260,1930
1,5100,6230
2,5700,3600
1,5620,7220
2,5240,5930
1,5320,1550
1,5620,2740
4,5700,3650
3,5240,4840
1,4840,2630
1,2630,1540
1,5620,9810
2,5400,2010
1,5520,1610
1,1610,5520
1,5520,2200
3,5860,6260
4,5400,6260
1,6260,430
1,430,5400
1,5160,2540
1,5840,4030
2,5810,2010
1,2010,2340
2,2010,2540
1,100,230
4,5400,1000
1,1000,800
1,800,840
2,5400,4250
3,4250,5400
1,5610,2310
1,5100,540
3,5840,540
1,5200,9990
1,9990,840
1,840,940
11,5120,800
2,5240,20
1,5860,3300
1,4840,9610
3,9610,3650
1,5510,2630
2,5700,2630
1,5520,1020
2,5700,2850
3,5400,3130
1,5860,2550
1,2550,5860
1,5260,1650
4,5700,3130
3,5400,3640
2,5700,4230
3,4230,5700
5,5260,2340
1,5620,3130
12,5620,4250
1,5110,4800
2,5230,910
1,5240,1740
1,1740,2850
6,5120,5240
1,5700,3510
1,5320,2550
2,5810,520
2,520,5810
