weight,source,target
1,7310,210
1,7200,4700
1,7330,7340
2,7200,7210
1,7020,430
2,7130,'Unemployed'
2,'Unemployed',7130
4,7200,6260
1,7260,9830
1,7220,6230
4,7220,'Unemployed'
5,'Unemployed',7220
1,7200,6730
1,7220,7310
1,7000,7220
1,7610,6520
1,7000,2140
1,2140,7000
5,7310,'Unemployed'
11,'Unemployed',7310
1,7410,7310
2,7310,4250
1,7010,110
9,7420,'Unemployed'
6,'Unemployed',7420
2,7030,'Unemployed'
2,'Unemployed',7030
1,7130,6200
2,7020,'Student'
2,2720,7020
1,7020,2720
2,7020,6420
2,6420,2720
1,2720,6260
1,7560,9130
1,7000,7210
1,7130,4220
3,4220,7340
1,7320,6200
1,7310,1010
1,7510,7220
3,7140,'Unemployed'
1,7040,4250
1,7560,6800
1,6800,'Unemployed'
1,7150,6940
1,6940,6840
1,7220,6530
1,7220,6350
1,6350,7130
1,7330,7000
3,7010,1040
1,7310,6200
1,7150,7000
1,7420,7020
7,7020,'Unemployed'
5,'Unemployed',7020
1,7000,7150
1,7420,6330
4,'Unemployed',7140
6,'Unemployed',7150
1,7610,7700
1,7020,1540
2,6200,7000
2,7330,7350
1,7200,6330
3,7150,8810
7,'Unemployed',7010
2,7010,1000
1,7200,7000
1,4220,2040
2,7350,'Unemployed'
4,7200,'Student'
6,'Student',1550
1,1550,2200
1,2200,1550
3,7360,'Unemployed'
1,'Unemployed',7360
1,7140,2720
1,7040,6350
35,'Unemployed',8800
1,1040,1810
1,7420,7410
8,'Unemployed',220
2,220,'Unemployed'
1,7000,5140
1,7140,1550
1,1550,7140
2,7000,110
5,7260,'Unemployed'
1,7140,6520
1,7200,4840
1,7210,9830
1,7220,4250
1,4250,1410
2,1410,'Student'
5,7330,'Unemployed'
1,7000,50
1,50,7150
1,6260,7150
1,7000,5520
1,7220,7360
1,7310,1360
1,1360,6660
1,7430,'Unemployed'
1,7120,7000
1,4250,6250
4,1000,'Student'
2,1000,2630
1,7020,9820
1,7330,7700
1,7610,7200
1,7200,7310
1,7310,6440
1,7000,8140
2,8140,7000
9,'Unemployed',7210
1,1040,1410
1,7330,7100
1,7220,6420
1,6420,7240
1,7020,7420
1,7210,6050
1,7160,8650
7,8650,'Unemployed'
1,7260,9130
3,7410,'Unemployed'
1,7010,1010
1,7020,4760
1,7010,1110
3,'Student',7200
1,620,50
21,620,'Unemployed'
7,'Unemployed',5350
1,560,430
1,540,7700
3,620,20
1,620,150
8,730,'Unemployed'
14,'Unemployed',430
1,620,1810
3,560,'Unemployed'
2,'Unemployed',560
1,520,530
1,540,800
17,'Unemployed',620
2,620,850
1,730,1810
9,520,'Unemployed'
8,'Unemployed',520
1,620,1040
1,620,2750
1,620,2700
3,'Unemployed',110
1,540,7010
4,620,130
1,620,5920
1,620,230
1,230,700
6,540,'Unemployed'
7,'Unemployed',540
1,560,4850
1,620,4840
14,4840,'Unemployed'
19,'Unemployed',4840
1,560,2000
1,2000,5000
1,620,3240
1,810,50
1,620,710
2,710,620
1,940,800
1,520,5620
2,5620,5600
8,'Unemployed',5110
1,540,50
1,50,800
1,620,2010
2,620,3130
1,620,110
5,'Unemployed',2850
1,620,910
1,930,9820
2,620,2710
1,620,4420
1,620,2200
5,940,'Unemployed'
1,930,800
1,730,2860
1,730,1060
3,1060,'Unemployed'
2,'Unemployed',1060
1,940,3510
1,730,2540
1,2540,1020
1,520,4840
6,4840,'Student'
8,'Student',4840
2,'Student',5350
1,930,940
1,620,430
1,520,1100
2,1100,1110
1,620,9800
1,620,2550
1,730,7700
145,'Unemployed',5620
165,5620,'Unemployed'
1,620,4820
1,620,800
1,940,120
16,5840,'Unemployed'
25,5160,'Unemployed'
4,5620,4600
1,4600,340
1,340,5620
34,5860,'Student'
16,4110,5700
2,5700,5360
148,5240,'Unemployed'
2,5000,10
30,5810,'Unemployed'
27,'Unemployed',5810
2,5240,620
25,'Unemployed',5000
11,'Unemployed',800
3,800,5120
5,5360,620
3,'Unemployed',350
2,5000,1100
2,5000,130
4,'Unemployed',130
1,130,'Unemployed'
23,5810,'Student'
2,5000,20
13,5160,'Student'
7,'Unemployed',8710
3,5000,4700
16,5620,4760
58,4760,4700
3,4700,4320
9,5350,'Unemployed'
1,5240,730
2,5520,220
1,100,4960
1,4960,100
4,5610,5620
1,5240,1810
1,1810,50
2,5860,2540
1,5140,3240
1,5360,430
4,5700,2200
3,2200,5700
2,5120,430
1,5600,700
4,5620,9600
53,5860,'Unemployed'
1,5110,5200
2,5220,'Unemployed'
3,5860,800
1,800,120
30,5240,'Student'
52,'Student',5240
210,'Unemployed',4760
33,5610,'Unemployed'
4,5700,2140
2,5810,3650
1,5150,2550
2,5320,4250
1,4250,1100
1,1100,1000
1,5310,2140
1,2140,9830
1,9830,2140
4,5240,1040
1,1040,9990
14,9990,'Unemployed'
1,5000,7310
2,5110,1000
2,5000,110
3,5240,540
1,5840,2820
4,5700,620
1,5330,950
1,5260,7620
6,'Student',4140
28,4140,'Unemployed'
1,5620,430
1,5330,4810
1,5700,850
5,5700,2340
1,2340,1650
1,1650,2200
1,2200,1650
37,5120,'Unemployed'
1,'Unemployed',930
1,930,5840
16,5820,'Student'
3,'Student',910
1,910,800
3,5240,800
1,5240,7010
1,5810,1040
7,5520,'Unemployed'
3,5240,4220
2,4220,5240
1,5000,1710
1,1710,1220
4,2100,'Unemployed'
112,5400,'Unemployed'
1,5260,2310
14,5510,'Unemployed'
1,5160,2040
1,5000,2020
28,5260,'Unemployed'
1,5000,2040
1,5110,950
5,'Unemployed',940
13,'Unemployed',4710
4,5320,'Unemployed'
11,'Student',2200
2,3600,2010
8,5240,5700
1,5120,7750
62,'Unemployed',7750
18,'Unemployed',5120
2,5400,2340
2,2340,5700
2,5620,7420
32,5260,'Student'
2,'Student',1930
1,1930,'Student'
1,5100,6230
2,5700,3600
1,5620,7220
2,5240,5930
1,5320,1550
8,'Unemployed',2740
37,5700,'Student'
41,'Student',5700
9,'Student',3650
2,5240,4840
1,2630,1540
1,5620,9810
2,5400,2010
4,2010,'Unemployed'
1,5520,1610
1,1610,5520
2,5520,'Student'
3,5400,6260
102,'Unemployed',5400
106,5700,'Unemployed'
1,5810,2010
1,2010,2340
1,2340,2010
2,2010,2540
1,100,230
2,230,'Unemployed'
55,5400,'Student'
9,'Student',800
1,800,840
2,5400,4250
3,4250,5400
1,5610,2310
1,5100,540
3,5840,540
1,5200,'Unemployed'
1,9990,840
3,840,'Unemployed'
10,5120,800
9,800,'Unemployed'
2,5240,20
2,5200,'Student'
1,4840,9610
160,9610,'Unemployed'
1,5510,2630
2,5700,2630
1,5520,1020
2,5700,2850
3,5400,3130
1,5860,2550
1,2550,5860
1,5260,1650
4,5700,3130
2,5400,3640
1,5700,4230
2,4230,5700
1,5620,3130
7,5620,4250
1,5110,4800
1,5230,'Unemployed'
10,'Unemployed',910
1,5240,1740
1,1740,2850
5,5120,5240
1,5700,3510
1,5320,2550
1,520,5810
1,5810,520
1,5610,5410
9,5410,'Unemployed'
9,'Unemployed',5410
2,5810,5000
2,5860,2040
2,2040,'Unemployed'
69,'Unemployed',4230
4,5000,430
11,'Unemployed',5510
1,5840,3650
1,5700,3410
1,5240,950
7,5620,4050
3,4050,5620
1,5620,3600
2,5000,350
1,5000,730
5,'Unemployed',20
1,5810,1110
3,4250,4030
8,'Student',1960
6,1960,'Student'
1,'Student',1650
16,'Student',5160
3,5400,3600
4,5240,3600
8,5400,5000
2,5000,4710
1,5260,1820
1,5110,5260
1,5260,5630
1,5020,1110
1,5000,3650
3,5120,3650
1,5810,4840
1,100,1740
1,1740,'Unemployed'
1,5310,5930
2,5620,2600
5,5540,'Unemployed'
11,5700,5000
1,5620,6520
1,5700,2020
10,2020,'Unemployed'
11,5860,5700
1,5700,3540
1,3540,120
1,120,3540
2,3540,4620
1,5700,50
1,50,130
3,5700,2720
2,2340,2720
1,2720,2340
3,5400,4040
2,4040,5120
2,5860,3640
5,5560,'Unemployed'
4,'Unemployed',5560
1,5230,5000
45,'Unemployed',4010
1,5000,7020
1,5610,4220
3,4220,5610
1,5510,5550
6,5700,5260
5,5260,5700
27,'Student',5260
1,5120,2140
1,5620,6300
1,5700,5220
2,5700,4430
1,4430,2330
1,5120,930
1,5630,3950
1,5600,4010
1,5120,130
1,5820,5110
37,'Student',5860
1,5860,1010
2,1010,2720
1,2720,1010
3,5850,'Student'
2,4220,4230
13,4230,'Student'
14,'Student',4230
2,5240,2300
1,5350,5000
12,5820,'Unemployed'
1,5400,5520
9,6050,'Student'
2,'Student',2840
1,2840,'Student'
1,4250,7020
6,5160,5000
1,5000,5160
1,5240,5230
2,5230,5240
6,5510,'Student'
11,5000,5700
1,5610,2600
1,10,9990
1,9990,1540
1,5240,4210
6,5010,'Unemployed'
6,'Unemployed',5010
1,5860,7130
2,'Student',1540
3,'Student',1360
1,5310,3130
1,5700,120
14,5310,'Unemployed'
21,5400,5700
18,5700,5400
1,5400,2540
1,2540,5700
2,5260,3650
1,5420,2150
1,2150,5420
1,5120,2020
1,5900,5810
2,5810,3600
1,5240,3320
1,'Unemployed',3320
3,5620,4030
1,5130,4300
1,5630,530
1,5600,2710
8,5240,5120
5,5120,5110
4,5240,5840
12,5120,'Student'
2,'Student',5220
1,5220,'Student'
6,'Student',2150
1,2150,2200
7,2200,'Student'
1,5120,830
1,5340,6200
4,5860,430
23,5300,'Unemployed'
86,'Unemployed',5700
2,5620,5240
1,5810,1010
1,5860,230
3,5360,5700
2,5600,3650
19,5110,'Unemployed'
1,5120,4700
2,2150,'Student'
25,'Unemployed',5260
1,5260,4960
1,5240,9810
1,5860,3410
20,5100,'Unemployed'
27,'Unemployed',5100
2,5120,2010
2,5700,2000
2,2000,5700
6,2000,'Unemployed'
11,'Unemployed',2000
1,5530,4220
2,5240,560
1,100,2060
3,5620,9610
2,5310,5700
1,5240,700
1,5330,720
5,5620,4700
1,5120,4850
3,5620,6420
20,'Student',6420
1,4430,6420
10,'Unemployed',5520
1,5520,1040
1,1040,5330
5,5300,'Student'
1,5240,1710
1,5240,600
2,5110,3600
1,5560,5550
2,5110,5840
15,'Student',5120
1,800,5600
1,5620,530
2,5820,2540
1,2540,5400
17,'Unemployed',5840
1,5700,350
1,5700,4810
1,5700,2550
1,5620,9350
2,9350,3600
6,5000,5240
15,5620,4720
1,560,5240
2,5310,2020
6,5700,5860
3,5260,5120
1,5700,2860
3,5700,4600
2,5520,3600
1,3600,5840
1,5810,800
4,5300,4720
4,4720,2300
2,5560,3920
1,3920,5540
3,5840,4810
180,'Unemployed',4110
1,5240,5350
10,'Unemployed',4960
1,5700,1040
2,5000,230
2,5700,2540
1,5110,520
1,5310,3600
3,5400,2140
4,5620,4940
4,4940,6230
12,5620,9620
2,5400,1960
3,5240,5160
2,5100,4920
3,5620,6260
4,'Student',6350
2,5700,5120
7,5240,5000
5,5630,'Unemployed'
1,5240,6230
1,5000,840
3,5300,5120
4,5100,5120
1,5240,5140
